PERSON_ID,NAME_LIST,LABEL,DES,N_DES
PERSON#152,宋江,梁山,宋江，字公明，古典名著《水浒传》中的人物。生性重义，好结识江湖上的好汉。绰号呼保义、及时雨、孝义黑三郎。梁山一百单八将之首，上应天魁星。原为山东郓城县押司，因平日仗义疏财、扶危济困而声名远扬。他私放了劫走生辰纲的晁盖一行，后怒杀不守妇道的阎婆惜，到清风寨投奔花荣，却在观灯时遭知寨刘高之妻陷害入狱，押送青州途中被燕顺等人解救。宋父在书信中谎称自己病逝，宋江独自奔丧却被抓住，发配江州，途中又结识了不少好汉。一日醉酒，在江州浔阳楼题反诗，被判死刑，处决那天获梁山人马解救，遂上山落草。每当梁山泊有战事，宋江都主动请缨出征，无往不利，在山寨的威望日益上涨。晁盖兵败曾头市身死，宋江被众人推举坐上第一把交椅，继续壮大山寨直至天罡地煞齐聚。后两胜童贯、三胜高俅。接受招安后，宋江带领梁山人马南征北战，先后平定辽国、河北田虎、淮西王庆、江南方腊，功成获封，却遭朝中奸臣陷害，饮下毒酒，葬于蓼儿洼。,[PERSON#152]，字公明，生性重义，好结识江湖上的好汉。绰号[PERSON#152]、[PERSON#152]、[PERSON#152]。[LOCATION#752]一百单八将之首，上应天魁星。原为[LOCATION#66]押司，因平日仗义疏财、扶危济困而声名远扬。他私放了劫走生辰纲的[PERSON#959]一行，后怒杀不守妇道的[PERSON#183]，到[LOCATION#159]投奔[PERSON#399]，却在观灯时遭知寨[PERSON#131]之妻陷害入狱，押送[LOCATION#234]途中被[PERSON#637]等人解救。宋父在书信中谎称自己病逝，[PERSON#152]独自奔丧却被抓住，发配[LOCATION#131]，途中又结识了不少好汉。一日醉酒，在[LOCATION#131][LOCATION#150]题反诗，被判死刑，处决那天获[LOCATION#752]人马解救，遂上山落草。每当[LOCATION#752]有战事，[PERSON#152]都主动请缨出征，无往不利，在山寨的威望日益上涨。[PERSON#959]兵败[LOCATION#108]身死，[PERSON#152]被众人推举坐上第一把交椅，继续壮大山寨直至天罡地煞齐聚。后两胜[PERSON#398]、三胜[PERSON#974]。接受招安后，[PERSON#152]带领[LOCATION#752]人马南征北战，先后平定[LOCATION#213]、[LOCATION#142][PERSON#1003]、[LOCATION#155][PERSON#363]、[LOCATION#130][PERSON#598]，功成获封，却遭朝中奸臣陷害，饮下毒酒，葬于[LOCATION#204]。
PERSON#546,吴用,梁山,吴用，表字学究，道号“加亮先生”，古典名著《水浒传》中的人物。一百单八将之一，绰号“智多星”。出场于第十四回“赤发鬼醉卧灵官殿 晁天王认义东溪村”。原为东溪村的私塾先生，与保正晁盖等人七星聚义，谋划劫取十万贯生辰纲，事发被官府追捕，上梁山落草。智激林冲杀死王伦后，与众人推举晁盖为梁山之主，吴用则成为军师，为梁山出谋划策，招揽各路英雄。在攻打祝家庄、大闹华州城等战役中都献有奇策。晁盖死后，吴用又与林冲、公孙胜拥戴宋江坐第一把交椅。梁山大聚义时，排名第三位，上应天机星，为掌管机密军师第一名。征方腊回朝授武胜军承宣使，后在梦中得知宋江被害，自缢于宋江墓前。吴用为全书主要人物之一，扮演着军事谋略家的角色，具有一定的理想化色彩。作为贫苦知识分子的典型，吴用图的是一世快活，最终却也为忠义而死。他的事迹在民间流传极广，为戏剧、小说以及影视剧所广泛演绎。,[PERSON#546]，表字[PERSON#546]，道号“[PERSON#546]”，绰号“[PERSON#546]”。出场于“[PERSON#925]醉卧灵官殿 [PERSON#959]认义[LOCATION#8]”。原为[LOCATION#8]的私塾先生，与保正[PERSON#959]等人七星聚义，谋划劫取十万贯生辰纲，事发被官府追捕，上[LOCATION#752]落草。智激[PERSON#699]杀死[PERSON#320]后，与众人推举[PERSON#959]为[LOCATION#752]之主，[PERSON#546]则成为军师，为[LOCATION#752]出谋划策，招揽各路英雄。在攻打[LOCATION#185]、大闹[LOCATION#33]等战役中都献有奇策。[PERSON#959]死后，[PERSON#546]又与[PERSON#699]、[PERSON#204]拥戴[PERSON#152]坐第一把交椅。[LOCATION#752]大聚义时，排名第三位，上应天机星，为掌管机密军师第一名。征[PERSON#598]回朝授武胜军承宣使，后在梦中得知[PERSON#152]被害，自缢于[PERSON#152]墓前。[PERSON#546]为全书主要人物之一，扮演着军事谋略家的角色，具有一定的理想化色彩。作为贫苦知识分子的典型，[PERSON#546]图的是一世快活，最终却也为忠义而死。他的事迹在民间流传极广，为戏剧、小说以及影视剧所广泛演绎。
PERSON#614,李逵,梁山,李逵，古典名著《水浒传》中的人物。一百单八将之一，生得黝黑粗壮，绰号“黑旋风”。沂州沂水县人氏，因打死了人，逃亡在外，被戴宗留在江州当牢子，结识了宋江。为救宋江，与梁山众人大闹江州。落草之后，本想带老母上山享福，老母却在沂岭被老虎所害，于是李逵怒杀一窝四虎。梁山大聚义时，排第二十二位，上应天杀星，为步军头领第五位。受招安后，跟随宋江南征北战，回朝受封镇江润州都统制。宋江饮下奸臣送来的毒酒后，担心李逵造反复仇，设法使其也饮下毒酒。李逵亦是元杂剧“水浒戏”中的重要角色之一。,[PERSON#614]，生得黝黑粗壮，绰号“[PERSON#614]”。[LOCATION#136][LOCATION#137]人氏，因打死了人，逃亡在外，被[PERSON#968]留在[LOCATION#131]当牢子，结识了[PERSON#152]。为救[PERSON#152]，与[LOCATION#752]众人大闹[LOCATION#131]。落草之后，本想带老母上山享福，老母却在[LOCATION#135]被老虎所害，于是[PERSON#614]怒杀一窝四虎。[LOCATION#752]大聚义时，排第二十二位，上应天杀星，为步军头领第五位。受招安后，跟随[PERSON#152]南征北战，回朝受封[LOCATION#227][LOCATION#153]都统制。[PERSON#152]饮下奸臣送来的毒酒后，担心[PERSON#614]造反复仇，设法使其也饮下毒酒。[PERSON#614]亦是元杂剧“水浒戏”中的重要角色之一。
PERSON#622,石秀,梁山,石秀，古典名著《水浒传》中的人物。一百单八将之一，绰号“拼命三郎”。初登场于第四十四回“锦豹子小径逢戴宗，病关索长街遇石秀”。江南人氏，祖籍金陵建康府。本随叔父贩卖羊马，叔父却半途染病亡故，无钱还乡，流落蓟州。因打抱不平结识杨雄，并与其结为兄弟，随后在杨雄的帮助下开设一家肉铺。得知嫂子潘巧云与和尚裴如海通奸，他告知杨雄，却反被潘巧云诬陷。石秀杀死裴如海，使杨雄得知真相。二人清算潘巧云后偶遇时迁，决定一同前往梁山落草。途中三人与祝家庄起冲突，时迁被捉，石秀、杨雄便随梁山人马三打祝家庄，救出时迁，正式入伙。攻打大名府前，石秀与杨雄一同打探消息，得知卢俊义即将问斩，石秀只身劫法场，保下卢俊义，自己也因寡不敌众被抓，直到吴用等人攻破大名府得救。梁山大聚义时，排第三十三位，上应天慧星，担任步兵头领之一。梁山受招安后，随宋江四处征战，颇有战功。征方腊过程中在昱岭关被乱箭射死，追封忠武郎。石秀是《水浒传,[PERSON#622]，绰号“[PERSON#622]”。初登场于“[PERSON#717]小径逢[PERSON#968]，[PERSON#87]长街遇[PERSON#622]”。[LOCATION#130]人氏，祖籍[LOCATION#224]建康府。本随叔父贩卖羊马，叔父却半途染病亡故，无钱还乡，流落[LOCATION#202]。因打抱不平结识[PERSON#87]，并与其结为兄弟，随后在[PERSON#87]的帮助下开设一家肉铺。得知嫂子[PERSON#387]与和尚[PERSON#104]通奸，他告知[PERSON#87]，却反被[PERSON#387]诬陷。[PERSON#622]杀死[PERSON#104]，使[PERSON#87]得知真相。二人清算[PERSON#387]后偶遇[PERSON#896]，决定一同前往[LOCATION#752]落草。途中三人与[LOCATION#185]起冲突，[PERSON#896]被捉，[PERSON#622]、[PERSON#87]便随[LOCATION#752]人马三打[LOCATION#185]，救出[PERSON#896]，正式入伙。攻打大名府前，[PERSON#622]与[PERSON#87]一同打探消息，得知[PERSON#156]即将问斩，[PERSON#622]只身劫法场，保下[PERSON#156]，自己也因寡不敌众被抓，直到[PERSON#546]等人攻破大名府得救。[LOCATION#752]大聚义时，排第三十三位，上应天慧星，担任步兵头领之一。[LOCATION#752]受招安后，随[PERSON#152]四处征战，颇有战功。征[PERSON#598]过程中在[LOCATION#104]被乱箭射死，追封忠武郎。[PERSON#622]是《水浒传
PERSON#87,杨雄,梁山,杨雄，古典名著《水浒传》中的人物。一百单八将之一，绰号病关索。初登场于第四十四回“锦豹子小径逢戴宗，病关索长街遇石秀”。  河南府人士，蓟州两院押狱兼行刑刽子。在被一帮军汉纠缠时得石秀仗义相助，二人相谈甚欢结为兄弟。石秀发觉杨雄妻子潘巧云出轨，暗中搜集证据，让杨雄带潘巧云前往翠屏山，知道事情经过后，杨雄怒杀潘巧云。随即偶遇时迁，三人决定一同投靠梁山。途经祝家庄时，时迁偷鸡致使被捉，杨雄二人前往梁山求援，在攻打祝家庄的战役立下功勋。  梁山大聚义时，排第三十二位，上应天牢星，担任步军头领之一，守卫梁山泊西山一关。梁山受招安后，杨雄随宋江征讨辽国，斩杀副统军贺重宝。攻征河北田虎时，随耿恭夺取高平县。讨淮西王庆时，斩杀将领段五。在平定江南方腊回程途中病逝，追封忠武郎。  杨雄性格鲁莽冲动，与石秀的胆大心细形成对比。他的事迹在民间流传较广，成为戏剧、小说以及影视剧中广泛演绎的角色。,[PERSON#87]，绰号[PERSON#87]。初登场于“[PERSON#717]小径逢[PERSON#968]，[PERSON#87]长街遇[PERSON#622]”。  [LOCATION#147]人士，[LOCATION#202]两院押狱兼行刑刽子。在被一帮军汉纠缠时得[PERSON#622]仗义相助，二人相谈甚欢结为兄弟。[PERSON#622]发觉[PERSON#87]妻子[PERSON#387]出轨，暗中搜集证据，让[PERSON#87]带[PERSON#387]前往[LOCATION#192]，知道事情经过后，[PERSON#87]怒杀[PERSON#387]。随即偶遇[PERSON#896]，三人决定一同投靠[LOCATION#752]。途经[LOCATION#185]时，[PERSON#896]偷鸡致使被捉，[PERSON#87]二人前往[LOCATION#752]求援，在攻打[LOCATION#185]的战役立下功勋。  [LOCATION#752]大聚义时，排第三十二位，上应天牢星，担任步军头领之一，守卫[LOCATION#752]西山一关。[LOCATION#752]受招安后，[PERSON#87]随[PERSON#152]征讨[LOCATION#213]，斩杀副统军[PERSON#281]。攻征[LOCATION#142][PERSON#1003]时，随耿恭夺取[LOCATION#240]。讨[LOCATION#155][PERSON#363]时，斩杀将领[PERSON#365]。在平定[LOCATION#130][PERSON#598]回程途中病逝，追封忠武郎。  [PERSON#87]性格鲁莽冲动，与[PERSON#622]的胆大心细形成对比。他的事迹在民间流传较广，成为戏剧、小说以及影视剧中广泛演绎的角色。
PERSON#156,卢俊义,梁山,卢俊义，古典名著《水浒传》中的人物。一百单八将之一，绰号“玉麒麟”。仪表堂堂，重情重义，武艺高强，棍棒、枪法天下无双，有“河北三绝”的美誉。祖居北京大名府，原本是大名府富商、大财主、员外，浪子燕青是其心腹家仆。其管家李固与妻子贾氏的奸情被吴用等人利用，使计赚上梁山。梁山大聚义时，排名第二位，上应天罡星。受招安后，先后征讨辽国、田虎、王庆、方腊，回朝加授武功大夫、庐州安抚使兼兵马副总管。蔡京、高俅等奸臣容不得他，命人把水银放在皇帝赐给他的饭菜中，卢俊义在坐船回庐州途中失足落水身亡。在《说岳全传》中，卢俊义是周侗的徒弟，与林冲、岳飞是师兄弟，这种说法流传极广。而后世的大量评书等衍生文学作品中，又加入了史文恭是卢俊义师兄弟的说法。,[PERSON#156]，绰号“[PERSON#156]”。仪表堂堂，重情重义，武艺高强，棍棒、枪法天下无双，有“[LOCATION#142]三绝”的美誉。祖居[LOCATION#30]，原本是大名府富商、大财主、员外，[PERSON#350][PERSON#350]是其心腹家仆。其管家[PERSON#907]与妻子[PERSON#30]的奸情被[PERSON#546]等人利用，使计赚上[LOCATION#752]。[LOCATION#752]大聚义时，排名第二位，上应天罡星。受招安后，先后征讨[LOCATION#213]、[PERSON#1003]、[PERSON#363]、[PERSON#598]，回朝加授武功大夫、[LOCATION#79]安抚使兼兵马副总管。[PERSON#369]、[PERSON#974]等奸臣容不得他，命人把水银放在皇帝赐给他的饭菜中，[PERSON#156]在坐船回[LOCATION#79]途中失足落水身亡。在[BOOK#33]中，[PERSON#156]是[PERSON#241]的徒弟，与[PERSON#699]、[PERSON#242]是师兄弟，这种说法流传极广。而后世的大量评书等衍生文学作品中，又加入了[PERSON#976]是[PERSON#156]师兄弟的说法。
PERSON#959,晁盖,梁山,晁盖，古典小说《水浒传》中的人物。本是山东郓城县东溪村保正、本乡财主，因将青石宝塔夺了过来在东溪村放下，人称“托塔天王”。后与刘唐、吴用、公孙胜、阮氏三雄合谋智取生辰纲，事发遭官府追杀，投奔梁山泊落草，然梁山泊寨主王伦忌才，不能相容，在林冲火并王伦后，大家推举晁盖为寨主。宋江在浔阳楼题反诗而遇险时，晁盖率领梁山好汉劫了江州法场，将宋江、戴宗救出。后在讨伐曾头市战役中，晁盖被史文恭的一支毒箭射中，中毒身亡。,[PERSON#959]，本是[LOCATION#66][LOCATION#8]保正、本乡财主，因将青[PERSON#288]塔夺了过来在[LOCATION#8]放下，人称“[PERSON#959]”。后与[PERSON#925]、[PERSON#546]、[PERSON#204]、[PERSON#435]合谋智取生辰纲，事发遭官府追杀，投奔[LOCATION#752]落草，然[LOCATION#752]寨主[PERSON#320]忌才，不能相容，在[PERSON#699]火并[PERSON#320]后，大家推举[PERSON#959]为寨主。[PERSON#152]在[LOCATION#150]题反诗而遇险时，[PERSON#959]率领[LOCATION#752]好汉劫了[LOCATION#131]法场，将[PERSON#152]、[PERSON#968]救出。后在讨伐[LOCATION#108]战役中，[PERSON#959]被[PERSON#976]的一支毒箭射中，中毒身亡。
PERSON#968,戴宗,梁山,戴宗，古典名著《水浒传》中的人物。一百单八将之一，会使神行法，绰号“神行太保”。出场于第三十八回“及时雨会神行太保，黑旋风斗浪里白条”。本是江州两院押牢节级官员，在吴用的引荐下结识宋江。在宋江受陷被捕之时，提出装疯逃过追查。为救宋江，戴宗假传信件，然而信件被识破，自己也被关入牢中。晁盖等人劫了法场，戴宗便与宋江上梁山。高唐州之战，前往蓟州请回公孙胜，为破高廉立下大功。梁山大聚义时，排第二十位，上应天速星，担任总探声息头领。征方腊回朝授武节将军和兖州府都统制，后辞官出家，在泰安州岳庙安详离世。戴宗道术精奇，乐与人交，且办事精明，为人诚实。其形象还出现在小说《水浒后传》、京剧《浔阳楼》等各类衍生作品之中。,[PERSON#968]，会使神行法，绰号“[PERSON#968]”。出场于“[PERSON#152]会[PERSON#968]，[PERSON#614]斗[PERSON#17]”。本是[LOCATION#131]两院押牢节级官员，在[PERSON#546]的引荐下结识[PERSON#152]。在[PERSON#152]受陷被捕之时，提出装疯逃过追查。为救[PERSON#152]，[PERSON#968]假传信件，然而信件被识破，自己也被关入牢中。[PERSON#959]等人劫了法场，[PERSON#968]便与[PERSON#152]上[LOCATION#752]。[LOCATION#239]之战，前往[LOCATION#202]请回[PERSON#204]，为破[PERSON#489]立下大功。[LOCATION#752]大聚义时，排第二十位，上应天速星，担任总探声息头领。征[PERSON#598]回朝授武节将军和兖州府都统制，后辞官出家，在[LOCATION#148]岳庙安详离世。[PERSON#968]道术精奇，乐与人交，且办事精明，为人诚实。其形象还出现在小说[BOOK#24]、京剧[BOOK#27]等各类衍生作品之中。
PERSON#392,金翠莲,百姓,金翠莲是古典小说《水浒传》中的虚构人物，东京人氏，父亲为金二，先后与郑屠、赵员外结为配偶。金翠莲随父母至渭州投亲未果，因母亲病故欠下郑屠债务，被其虚钱实契强占为妾，三月后遭郑妻驱逐流落街头卖唱还债。鲁智深与史进等听闻其遭遇后赠银相助，并在护送父女离开时拳打郑屠致其身亡。金老返乡途中改道北上至雁门县，经邻居介绍将金翠莲嫁给赵员外作外宅，父女每日焚香供奉鲁达牌位以表感恩。鲁达逃至雁门时被金老汉认出，最终赵员外将其安顿至五台山出家。该人物经历展现了封建社会中弱势群体的生存困境，其命运转折间接促成鲁智深落发为僧的情节发展。,[PERSON#392]是[BOOK#22]中的虚构人物，[LOCATION#2]人氏，父亲为金二，先后与[PERSON#359]、[PERSON#276]结为配偶。[PERSON#392]随父母至[LOCATION#161]投亲未果，因母亲病故欠下[PERSON#359]债务，被其虚钱实契强占为妾，三月后遭郑妻驱逐流落街头卖唱还债。[PERSON#532]与[PERSON#277]等听闻其遭遇后赠银相助，并在护送父女离开时拳打[PERSON#359]致其身亡。[PERSON#928]返乡途中改道北上至雁门县，经邻居介绍将[PERSON#392]嫁给[PERSON#276]作外宅，父女每日焚香供奉[PERSON#532]牌位以表感恩。[PERSON#532]逃至雁门时被[PERSON#928]汉认出，最终[PERSON#276]将其安顿至[LOCATION#18]出家。该人物经历展现了封建社会中弱势群体的生存困境，其命运转折间接促成[PERSON#532]落发为僧的情节发展。
PERSON#350,燕青,梁山,燕青，又名燕小乙，古典名著《水浒传》中的人物。一百单八将之一，绰号“浪子”。北京人氏，原是北京富户卢俊义的心腹家仆。文武双全，多才多艺，忠心耿耿。后随卢俊义上梁山。梁山大聚义时，排第三十六位，上应“天巧星”，担任步军头领。曾在东京李师师处面见宋徽宗，促成梁山招安。征方腊后退隐江湖。续书《水浒后传》中，燕青参与抵抗金军入侵，后在海外辅佐李俊创立基业，是书中主角之一。,[PERSON#350]，又名[PERSON#350]，绰号“[PERSON#350]”。[LOCATION#30]人氏，原是[LOCATION#30]富户[PERSON#156]的心腹家仆。文武双全，多才多艺，忠心耿耿。后随[PERSON#156]上[LOCATION#752]。[LOCATION#752]大聚义时，排第三十六位，上应“天巧星”，担任步军头领。曾在[LOCATION#2][PERSON#416]处面见[PERSON#571]，促成[LOCATION#752]招安。征[PERSON#598]后退隐江湖。续书[BOOK#24]中，[PERSON#350]参与抵抗金军入侵，后在海外辅佐[PERSON#66]创立基业，是书中主角之一。
