PERSON_ID,NAME_LIST,LABEL,DES,N_DES
PERSON#941,甄费,其他,甄费是曹雪芹小说《红楼梦》中人物，名费，字士隐，角色命名源自《礼记·中庸》"君子之道费而隐"，谐音"真事隐"，与贾雨村构成"假语存"的对应关系，暗示其可能承载作者自身经历投影。作为串联全书主题的核心线索人物，甄费经历幼女被拐、家宅焚毁、寄人篱下等变故，最终在贫病中顿悟《好了歌》出家。其命运不仅暗含"真废物"的隐喻，更通过"甄贾对照"的结构设计，奠定"将真事隐去，用假语村言"的叙事基调，完整呈现封建知识分子从沉迷到觉醒的精神轨迹。,[PERSON#941]是[PERSON#263]小说[BOOK#38]中人物，名[PERSON#531]，字[PERSON#111]，角色命名源自[BOOK#34]"君子之道[PERSON#531]而隐"，谐音"[PERSON#394]"，与[PERSON#659]构成"[PERSON#26]"的对应关系，暗示其可能承载作者自身经历投影。作为串联全书主题的核心线索人物，[PERSON#941]经历幼女被拐、家宅焚毁、寄人篱下等变故，最终在贫病中顿悟[BOOK#16]出家。其命运不仅暗含"真废物"的隐喻，更通过"[PERSON#380]对照"的结构设计，奠定"将[PERSON#394]去，用[PERSON#28]"的叙事基调，完整呈现封建知识分子从沉迷到觉醒的精神轨迹。
PERSON#265,封氏,其他,封氏，曹雪芹小说《红楼梦》中人物，甄士隐之妻，封肃之女，又称“甄家娘子”。在87版电视剧《红楼梦》中由陈祖荣饰演。封肃为乡中富农，无官爵功名。封氏性情贤淑，与甄士隐育有独女英莲。英莲幼年被拐后家宅遭焚毁，夫妻投奔封肃。封肃厌恶女婿，哄骗其财产致甄士隐破产出家。封氏带侍女日夜劳作维持生计，贾雨村任官后探访时未攀附权势，仅感怀身世，后接受其资助寻女。,[PERSON#265]，[PERSON#263]小说[BOOK#38]中人物，[PERSON#374]之妻，[PERSON#929]之女，又称“[PERSON#378]娘子”。在87版电视剧[BOOK#38]中由[PERSON#632]饰演。[PERSON#929]为乡中富农，无[PERSON#152]爵功名。[PERSON#265]性情贤淑，与[PERSON#374]育有独女[PERSON#470]。[PERSON#470]幼年被拐后家宅遭焚毁，夫妻投奔[PERSON#929]。[PERSON#929]厌恶女婿，哄骗其财产致[PERSON#374]破产出家。[PERSON#265]带侍女日夜劳作维持生计，[PERSON#659]任[PERSON#152]后探访时未攀附权势，仅感怀身世，后接受其资助寻女。
PERSON#130,神瑛侍者,其他,神瑛侍者，男，中国四大名著之一《红楼梦》及其衍生作品中的角色之一，由欧阳奋强饰演，瞿佳配音。神瑛侍者，从《脂砚斋重评石头记》的描写看来，神瑛侍者为贾宝玉的前身，他对三生石畔的绛珠仙草曾有灌溉之恩。贾宝玉身上的通灵宝玉是由顽石变化而成的。后在绛珠“泪尽夭折”后，经历了与宝钗“恩爱夫妻不到冬”、贾府的“忽喇喇似大厦倾”、女儿们的“三春去后诸芳尽”等等人间不适后，心灰意冷地“悬崖散手”，与绛珠“证了前缘”。,[PERSON#130]，男，[LOCATION#3]四大名著之一[BOOK#38]及其衍生作品中的角色之一，由[PERSON#301]饰演，[PERSON#396]配音。[PERSON#130]，从[BOOK#44]的描写看来，[PERSON#130]为[PERSON#733_1]的前身，他对[LOCATION#1]的[PERSON#431]曾有灌溉之恩。[PERSON#733_1]身上的[PERSON#596]是由[PERSON#639]变[PERSON#62]而成的。后在[PERSON#429]“泪尽夭折”后，经历了与[PERSON#159]“恩爱夫妻不到冬”、[LOCATION#63]的“忽喇喇似大厦倾”、女儿们的“三春去后诸芳尽”等等人间不适后，心灰意冷地“悬崖散手”，与[PERSON#429]“证了前缘”。
PERSON#870,警幻仙子,其他,警幻仙子，小说《红楼梦》及其衍生作品中的角色之一。警幻仙子，爱神、美神，太虚幻境司主。《红楼梦》第五回，她受宁荣二公所托，让宝玉阅览金陵十二钗命运簿册，聆听《红楼梦曲》十四支，又将妹妹可卿许配于宝玉，引导宝玉“留意于孔孟之间，委身于经济之道”。警幻之名，即设计情欲声色梦幻警醒宝玉入于仕途经济正路。无奈宝玉竟未悟，梦醒后依然不改意淫志行，直到后四十回第二梦才了悟。根据《红楼梦》中的脂批探佚，警幻仙子应该在最后一回中展示警幻情榜。,[PERSON#870]，小说[BOOK#38]及其衍生作品中的角色之一。[PERSON#870]，爱神、美神，[LOCATION#25]司主。[BOOK#38]第五回，她受[PERSON#150]所托，让[PERSON#157]阅览[LOCATION#72][PERSON#65]命运簿册，聆听[BOOK#42]十四支，又将妹妹[PERSON#76]许配于[PERSON#157]，引导[PERSON#157]“留意于[PERSON#139]之间，委身于经济之道”。[PERSON#523]之名，即设计情欲声色梦幻警醒[PERSON#157]入于仕途经济正路。无奈[PERSON#157]竟未悟，梦醒后依然不改意淫志行，直到后四十回第二梦才了悟。根据[BOOK#38]中的[PERSON#455]探佚，[PERSON#870]应该在最后一回中展示[PERSON#523]情榜。
PERSON#733_1,贾宝玉,荣国府,贾宝玉，中国古典名著《红楼梦》中的人物，前世真身为神瑛侍者，今生为荣国府贾政与王夫人所生的次子，因衔通灵宝玉而诞，系贾府玉字辈嫡孙，故名贾宝玉，贾府通称宝二爷。贾宝玉自幼深受贾母疼爱，游于温柔富贵乡，专爱作养脂粉，亲近家里姐妹和丫鬟；他与林黛玉青梅竹马，互为知己，发展成一段世间少有的纯洁感情；他重情不重礼，结交了秦钟、蒋玉菡、柳湘莲、北静王等有情男子；他喜欢诗词曲赋之类性情文学，厌恶四书和八股文，批判程朱理学，把那些追逐科举考试、仕途经济的封建文人叫做“禄蠹”。可是到头来“瞬息间则又乐极悲生，人非物换”，他所欣赏的女子们死的死，散的散；自身又在家族安排下糊里糊涂与薛宝钗结婚，致使林黛玉泪尽而逝；再经抄家之痛，越发唬得他疯疯傻傻。为了报答天恩祖德，也为了尽快了却尘缘，他以高魁贵子重振家业，最后跟随一僧一道出走，回到青埂峰。贾宝玉形象带有曹雪芹自传的色彩，但其本质上属于艺术虚构，是作者有意识塑造的集意淫、补天济世、正邪两赋三大美德于一身的典型形象，在世界文学史上极具创新性。,[PERSON#733_1]，[LOCATION#3]古典名著[BOOK#38]中的人物，前世真身为[PERSON#130]，今生为[LOCATION#56][PERSON#357]与[PERSON#15_1]所生的次子，因衔[PERSON#596]而诞，系[LOCATION#63][PERSON#336]字辈嫡孙，故名[PERSON#733_1]，[LOCATION#63]通称宝二[PERSON#334]。[PERSON#733_1]自幼深受[PERSON#972]疼爱，游于温柔富贵乡，专爱作养脂粉，亲近家里姐妹和丫鬟；他与[PERSON#41]青[PERSON#299]竹马，互为知己，发展成一段世间少有的纯洁感情；他重情不重礼，结交了[PERSON#418]、[PERSON#375]、[PERSON#971]、[PERSON#63]等有情男子；他喜欢诗词曲赋之类性情文学，厌恶四书和八股文，批判程朱理学，把那些追逐科举考试、仕途经济的封建文人叫做“禄蠹”。可是到头来“瞬息间则又乐极悲生，人非物换”，他所欣赏的女子们死的死，散的散；自身又在家族安排下糊里糊涂与[PERSON#680]结婚，致使[PERSON#41]泪尽而逝；再经抄家之痛，越发唬得他疯疯傻傻。为了报答天恩祖德，也为了尽快了却尘缘，他以高魁贵子重振家业，最后跟随一僧一道出走，回到青埂峰。[PERSON#733_1]形象带有[PERSON#263]自传的色彩，但其本质上属于艺术虚构，是作者有意识塑造的集意淫、补天济世、正邪两赋三大美德于一身的典型形象，在世界文学史上极具创新性。
PERSON#733,马道婆,其他,马道婆是清代小说《红楼梦》中的虚构角色，贾宝玉的寄名干娘，在1987年电视剧版中由李倍饰演。她以封建迷信活动为业，长期游走于贾府各房骗取钱财。借宝玉被烫伤之机，先以“促狭鬼缠身”之说哄骗贾母捐五斤香油点灯祈福，后又受赵姨娘贿赂，用纸人邪术加害宝玉与王熙凤，致两人濒死，最终被癞头和尚用通灵宝玉化解危机。此外，她还收受当铺内眷钱财施法制造混乱，谎称治病敛财。因遗落施法道具被捕，刑部从其住处查获大量纸人、草人及勒索账册，最终被处死刑。作为封建迷信势力的代表，她的连环诈骗与邪术操控暴露了贾府内部矛盾，其罪行败露与伏法结局暗合因果报应的叙事逻辑。,[PERSON#733]是清代小说[BOOK#38]中的虚构角色，[PERSON#733_1]的寄名干娘，在1987年电视剧版中由[PERSON#267]饰演。她以封建迷信活动为业，长期游走于[LOCATION#63]各房骗取钱财。借[PERSON#157]被烫伤之机，先以“促狭鬼缠身”之说哄骗[PERSON#972]捐五斤香油点灯祈福，后又受[PERSON#234]贿赂，用纸人邪术加害[PERSON#157]与[PERSON#433]，致两人濒死，最终被[PERSON#384]用[PERSON#596][PERSON#62]解危机。此外，她还收受当铺内眷钱财施法制造混乱，谎称治病敛财。因遗落施法道具被捕，刑部从其住处查获大量纸人、草人及勒索账册，最终被处死刑。作为封建迷信势力的代表，她的连环诈骗与邪术操控暴露了[LOCATION#63]内部矛盾，其罪行败露与伏法结局暗合因果报应的叙事逻辑。
PERSON#659,贾雨村,其他,贾雨村，是古典名著《红楼梦》中的重要角色，名：化，字：时飞，别号：雨村。他是一个提纲挈领式的人物，以“假语村言”（一说“假语存焉”）提醒读者，统率全文。 原系湖州人，生于仕宦之家，但到他时，祖宗根基已尽，人口衰丧，只剩下他一人。他想进京求取功名，无奈囊内空空，只得暂在姑苏城里葫芦庙里安身，每日卖文为生。后因甄士隐相助，他才有钱上路，考中进士，升为知府。不久、因贪污徇私、被革职，受聘至林如海家、任林黛玉的启蒙老师，借与林如海的关系攀附上了贾府。在贾政的帮助下，他又官复原职，但为官不正，乱判了一起“葫芦案”（谐音：“糊涂案”）；最终“因嫌纱帽小，致使锁枷扛”。,[PERSON#659]，是古典名著[BOOK#38]中的重要角色，名：[PERSON#62]，字：[PERSON#246]，别号：[PERSON#635]。他是一个提纲挈领式的人物，以“[PERSON#28]”（一说“[PERSON#26]焉”）提醒读者，统率全文。 原系[LOCATION#46]人，生于仕宦之家，但到他时，祖宗根基已尽，人口衰丧，只剩下他一人。他想进[LOCATION#5]求取功名，无奈囊内[PERSON#415]，只得暂在[LOCATION#26]城里[LOCATION#58]里安身，每日卖文为生。后因[PERSON#374]相助，他才有钱上路，考中进士，升为知府。不久、因贪污徇私、被革职，受聘至[PERSON#377]家、任[PERSON#41]的启蒙老师，借与[PERSON#377]的关系攀附上了[LOCATION#63]。在[PERSON#357]的帮助下，他又[PERSON#152]复原职，但为[PERSON#152]不正，乱判了一起“[PERSON#485]”（谐音：“糊涂案”）；最终“因嫌纱帽小，致使锁枷扛”。
PERSON#960,老爷,荣国府,“老爷”是汉语中具有多重含义的尊称词汇。其原初指代父亲或祖父，后逐渐延伸为对神明（如“城隍老爷”）、官员、士绅及家庭男主人的敬称，部分方言亦用于称呼曾祖父或外祖父。该词内涵涵盖亲属与社会双重维度：亲属称谓中既可指长辈男性（如双亲之父、曾祖父），亦可作外祖父的方言表达；社会语境中则用于尊崇权贵阶层或家主，明清时期仆人称男主人为“老爷”，对应女主人称“老姥”。部分方言还将“老爷”用于指代太阳等自然现象。“老爷”源自古汉语，明代文献已明确记载其社会尊称功能，如《柳南随笔》称九卿为“老爷”。其语义演变与封建等级制度密切相关，唐代起“爷”字逐渐成为尊贵者代称，至明清广泛应用于官绅阶层。现代汉语中“姥爷”等称谓亦由此演化，部分方言及历史文本仍保留其古义。,“[PERSON#960]”是汉语中具有多重含义的尊称词汇。其原初指代父亲或祖父，后逐渐延伸为对神明（如“城隍[PERSON#960]”）、[PERSON#152]员、士绅及家庭男主人的敬称，部分方言亦用于称呼曾祖父或外祖父。该词内涵涵盖亲属与社会双重维度：亲属称谓中既可指长辈男性（如双亲之父、曾祖父），亦可作外祖父的方言表达；社会语境中则用于尊崇权贵阶层或家主，明清时期仆人称男主人为“[PERSON#960]”，对应女主人称“老姥”。部分方言还将“[PERSON#960]”用于指代太阳等自然现象。“[PERSON#960]”源自古汉语，明代文献已明确记载其社会尊称功能，如[BOOK#26]称九卿为“[PERSON#960]”。其语义演变与封建等级制度密切相关，唐代起“[PERSON#334]”字逐渐成为尊贵者代称，至明清广泛应用于[PERSON#152]绅阶层。现代汉语中“[PERSON#136]”等称谓亦由此演[PERSON#62]，部分方言及历史文本仍保留其古义。
PERSON#929,封肃,其他,封肃是清代小说《红楼梦》中甄士隐的岳父，其名字谐音“又疯又俗”，暗示其势利贪婪的性格特点。他因哄骗落魄女婿甄士隐的财产，导致后者最终出家，展现了封建社会中人情冷暖的世态。此外，封肃在贾雨村纳甄家丫鬟娇杏为妾的情节中，因攀附权贵而积极促成此事，这一行为反映了清代婚姻法律与社会现实的脱节。,[PERSON#929]是清代小说[BOOK#38]中[PERSON#374]的岳父，其名字谐音“又疯又俗”，暗示其势利贪婪的性格特点。他因哄骗落魄女婿[PERSON#374]的财产，导致后者最终出家，展现了封建社会中人情冷暖的世态。此外，[PERSON#929]在[PERSON#659]纳[PERSON#378]丫鬟[PERSON#137]为妾的情节中，因攀附权贵而积极促成此事，这一行为反映了清代婚姻法律与社会现实的脱节。
PERSON#841,甄英莲,其他,甄英莲，又名香菱、秋菱，是《红楼梦》中重要的女性人物，首次登场于第一回《甄士隐梦幻识通灵 贾雨村风尘怀闺秀》，为甄士隐之女、薛蟠之妾，位列金陵十二钗副册。甄英莲出身姑苏乡宦之家，为家中独女，幼年在元宵夜被拐，长大后被卖给乡绅公子冯渊，却遭薛蟠强抢，被迫随薛蟠客居贾府，薛宝钗为其取名“香菱”。香菱起初为使唤丫头，后被薛蟠收入房中成为侍妾，在贾府期间与众姐妹关系融洽，还诚心拜林黛玉为师，废寝忘食学诗，终有所成，参与芦雪广联诗。薛蟠娶正妻夏金桂后，香菱被改名为“秋菱”，饱受夏金桂及其丫鬟宝蟾的残酷虐待与精神折磨，甚至险些丢命。最终，香菱被扶为正室，却因难产而死，遗下一子。甄英莲的个性源于钟鼎诗书之家出身与底层流浪生活的共同作用，她简单乐观、少有束缚、无贪欲多虑，与其他女性角色迥然不同；其作为首位出场且位列副册之首的关键人物，不仅引出其他重要角色，更串联起红楼女儿的悲剧命运，其名字谐音“真应怜”，寄托了曹雪芹对群钗的深切悲悯与对美好人性无力护佑的痛惜；她的经历更展现出女性意识的彻底丧失，如薛蟠娶夏金桂时，她竟满心喜悦、主动让夫，揭示了“自觉妾意识”的麻木与封建礼教造成的精神创伤，这一独特形象也广泛出现在《红楼梦》的影视改编作品中。,[PERSON#841]，又名[PERSON#645]、[PERSON#401]，是[BOOK#38]中重要的女性人物，首次登场于第一回[BOOK#32]，为[PERSON#374]之女、[PERSON#346]之妾，位列[LOCATION#72][PERSON#65]副册。[PERSON#841]出身[LOCATION#26]乡宦之家，为家中独女，幼年在元宵夜被拐，长大后被卖给乡绅公子[PERSON#977]，却遭[PERSON#346]强抢，被迫随[PERSON#346]客居[LOCATION#63]，[PERSON#680]为其取名“[PERSON#645]”。[PERSON#645]起初为使唤丫头，后被[PERSON#346]收入房中成为侍妾，在[LOCATION#63]期间与众姐妹关系融洽，还诚心拜[PERSON#41]为师，废寝忘食学诗，终有所成，参与[PERSON#463]联诗。[PERSON#346]娶正妻[PERSON#250_1]后，[PERSON#645]被改名为“[PERSON#401]”，饱受[PERSON#250_1]及其丫鬟[PERSON#842]的残酷虐待与精神折磨，甚至险些丢命。最终，[PERSON#645]被扶为正室，却因难产而死，遗下一子。[PERSON#841]的个性源于[PERSON#620][PERSON#525]之家出身与底层流浪生活的共同作用，她简单乐观、少有束缚、无贪欲多虑，与其他女性角色迥然不同；其作为首位出场且位列副册之首的关键人物，不仅引出其他重要角色，更串联起红楼女儿的悲剧命运，其名字谐音“真应怜”，寄托了[PERSON#263]对群[PERSON#618]的深切悲悯与对美好人性无力护佑的痛惜；她的经历更展现出女性意识的彻底丧失，如[PERSON#346]娶[PERSON#250_1]时，她竟满心喜悦、主动让夫，揭示了“自觉妾意识”的麻木与封建礼教造成的精神创伤，这一独特形象也广泛出现在[BOOK#38]的影视改编作品中。
